Taxon,Scientific name,Parent,PICount
2759,Eukaryota,131567,415
3193,Embryophyta,131221,415
3244,Selaginellales,1521260,7
3245,Selaginellaceae,3244,7
3246,Selaginella,3245,7
3398,Magnoliophyta,58024,408
3475,Parasponia,3481,1
3476,Parasponia andersonii,3475,1
3479,Trema,3481,1
3481,Cannabaceae,3744,2
3487,Moraceae,3744,1
3497,Morus,3487,1
3502,Fagales,91835,2
3503,Fagaceae,3502,1
3524,Caryophyllales,1437201,1
3561,Spinacia,1307775,1
3562,Spinacia oleracea,3561,1
3602,Vitaceae,403667,3
3603,Vitis,2304100,3
3646,Malpighiales,91835,6
3688,Salicaceae,3646,2
3689,Populus,238069,2
3694,Populus trichocarpa,3689,1
3699,Brassicales,91836,13
3700,Brassicaceae,3699,13
3701,Arabidopsis,980083,3
3702,Arabidopsis thaliana,3701,2
3705,Brassica,981071,5
3711,Brassica campestris,3705,2
3712,Brassica oleracea,3705,2
3718,Capsella,980083,1
3744,Rosales,91835,15
3745,Rosaceae,3744,12
3754,Prunus,721805,7
3755,Prunus dulcis,3754,3
3759,Prunus yedoensis,3754,1
3760,Prunus persica,3754,3
3764,Rosa,1176516,5
3803,Fabaceae,72025,9
3814,Papilionoideae,3803,9
3817,Arachis,2231390,4
3818,Arachis hypogaea,3817,4
3826,Cicer,163722,1
3827,Cicer arietinum,3826,1
3869,Lupinus,163729,1
3871,Lupinus angustifolius,3869,1
3877,Medicago,163742,2
3880,Medicago truncatula,3877,2
3928,Lythraceae,41944,1
3931,Myrtaceae,41944,1
3932,Eucalyptus,1699524,1
3977,Euphorbiaceae,3646,4
3982,Manihot,235883,2
3983,Manihot esculenta,3982,2
3987,Ricinus,235880,1
3988,Ricinus communis,3987,1
3995,Jatropha,235887,1
4036,Apiales,91882,1
4037,Apiaceae,364270,1
4038,Daucus,241799,1
4039,Daucus carota,1873447,1
4055,Gentianales,91888,6
4069,Solanales,91888,285
4070,Solanaceae,4069,277
4071,Capsicum,424564,123
4072,Capsicum annuum,4071,99
4081,Solanum lycopersicum,49274,21
4085,Nicotiana,424562,65
4086,Nicotiana acuminata,4085,1
4087,Nicotiana alata,4085,2
4093,Nicotiana rustica,4085,1
4096,Nicotiana sylvestris,4085,10
4097,Nicotiana tabacum,4085,22
4100,Nicotiana benthamiana,4085,1
4107,Solanum,424574,88
4108,Solanum chacoense,4107,5
4111,Solanum melongena,4107,1
4112,Solanum nigrum,4107,4
4113,Solanum tuberosum,4107,52
4118,Convolvulaceae,4069,8
4128,Cuscuta,292919,8
4136,Lamiaceae,4143,1
4143,Lamiales,91888,9
4144,Oleaceae,4143,1
4145,Olea,426106,1
4146,Olea europaea,4145,1
4155,Erythranthe guttata,1502711,1
4196,Lentibulariaceae,4143,2
4441,Camellia,27065,1
4442,Camellia sinensis,4441,1
4447,Liliopsida,1437183,55
4479,Poaceae,38820,49
4480,Aegilops,1648030,3
4512,Hordeum,1648017,1
4513,Hordeum vulgare,4512,1
4527,Oryza,1648021,11
4529,Oryza rufipogon,4527,1
4530,Oryza sativa,4527,4
4533,Oryza brachyantha,4527,1
4536,Oryza nivara,4530,1
4537,Oryza punctata,4527,1
4538,Oryza glaberrima,4527,1
4539,Panicum,1293365,8
4540,Panicum miliaceum,4539,3
4546,Saccharum,1648026,2
4554,Setaria,1293361,3
4555,Setaria italica,4554,2
4556,Setaria viridis,4554,1
4557,Sorghum,1648028,3
4558,Sorghum bicolor,4557,3
4564,Triticum,1648030,5
4565,Triticum aestivum,4564,3
4567,Triticum turgidum subsp. durum,4571,1
4571,Triticum turgidum,4564,1
4572,Triticum urartu,4564,1
4575,Zea,1648029,2
4577,Zea mays,4575,2
4613,Bromeliaceae,38820,3
4614,Ananas,1909378,3
4615,Ananas comosus,4614,3
4618,Zingiberales,4734,1
4637,Musaceae,4618,1
4640,Musa,4637,1
4734,commelinids,1437197,53
4747,Orchidaceae,73496,2
13442,Coffea,169640,6
15367,Brachypodium,147385,2
15368,Brachypodium distachyon,15367,2
16714,Juglandaceae,3502,1
16718,Juglans,16714,1
21024,Fagus,3503,1
21880,Salvia,216718,1
22662,Punica,3928,1
22663,Punica granatum,22662,1
24079,Bignoniaceae,4143,3
24609,Atropa,424566,1
24966,Rubiaceae,4055,6
26122,Gesneriaceae,4143,1
27065,Theaceae,41945,1
28930,Fagus sylvatica,21024,1
29760,Vitis vinifera,3603,3
33090,Viridiplantae,2759,415
33113,Atropa belladonna,24609,1
33114,Capsicum baccatum,4071,11
35493,Streptophyta,33090,415
35711,Leersia,1648021,2
35889,Nicotiana glutinosa,4085,2
37682,Aegilops tauschii,4480,3
37818,Dendrobium,158406,1
38413,Eragrostis,751752,3
38414,Eragrostis curvula,38413,3
38820,Poales,4734,52
39946,Oryza sativa subsp. indica,4530,1
39947,Oryza sativa subsp. japonica,4530,2
40148,Oryza glumipatula,4527,1
40149,Oryza meridionalis,4527,1
40336,Mucuna,163735,1
41399,Phrymaceae,4143,1
41944,Myrtales,91836,2
41945,Ericales,71274,1
